plot,species,count
1,alli inca,49
1,astr allo,2
1,astr nutt,36
1,atri acan,1
1,cryp cras,1
1,desc obtu,4
1,desc pinn,44
1,dich pulc,1
1,ephe trif,1
1,erag lehm,2
1,eria diff,1
1,erig dive,4
1,erod cicu,15
1,guti saro,6
1,hoff dens,1
1,lapp redo,23
1,lepi lasi,36
1,lina bige,2
1,muhl port,1
1,nama hisp,7
1,pani ariz,1
1,pere nana,7
1,phac ariz,29
1,plag ariz,5
1,plan purs,1
1,sper echi,40
2,acac cons,8
2,alli inca,61
2,astr nutt,2
2,chae stev,2
2,cryp micr,17
2,desc obtu,2
2,desc pinn,61
2,erag lehm,9
2,eria diff,4
2,erod cicu,2
2,gili sinu,1
2,guti saro,1
2,lapp redo,4
2,lina bige,3
2,lina texa,11
2,muhl port,15
2,nama hisp,13
2,oeno prim,2
2,phac ariz,14
2,sida proc,1
2,sola elea,1
2,sper echi,11
4,alli inca,50
4,amsi tess,2
4,astr nutt,75
4,cass bauh,1
4,chae stev,80
4,erag lehm,10
4,erio aber,2
4,erod cicu,8
4,guti saro,1
4,hapl tenu,10
4,lesq gord,29
4,oeno prim,2
4,pect recu,2
4,phac ariz,2
4,plan purs,4
4,rume hyme,4
4,sola elea,2
8,acac cons,8
8,astr nutt,54
8,bric eupa,1
8,chae stev,7
8,desc pinn,25
8,dich pulc,1
8,eria diff,30
8,erig dive,3
8,erio aber,15
8,erod cicu,9
8,guti saro,3
8,lepi lasi,1
8,lina bige,1
8,lina texa,2
8,micr lene,1
8,oeno prim,2
8,pect recu,3
8,phac ariz,11
8,plan purs,3
8,rume hyme,6
8,sola elea,2
8,sper echi,3
8,trid pulc,1
11,acac cons,14
11,astr nutt,27
11,chae stev,4
11,desc pinn,13
11,dich pulc,1
11,ephe trif,1
11,eria diff,2
11,erio aber,5
11,erod cicu,8
11,hoff dens,2
11,lesq gord,31
11,oeno prim,1
11,pere nana,1
11,phac ariz,5
11,plan purs,2
11,rume hyme,6
12,acac cons,3
12,astr nutt,13
12,chae stev,14
12,desc pinn,3
12,erag lehm,2
12,eria diff,3
12,hoff dens,7
12,lepi lasi,3
12,lesq gord,82
12,muhl port,2
12,oeno prim,1
12,phac ariz,10
12,plan purs,2
12,pseu cane,1
12,sola elea,3
14,acac cons,8
14,astr nutt,15
14,bail mult,2
14,chae stev,27
14,desc obtu,1
14,desc pinn,5
14,dich pulc,1
14,guti saro,3
14,lepi lasi,19
14,lesq gord,5
14,lupi conc,3
14,muhl port,2
14,oeno prim,2
14,phac ariz,13
14,rume hyme,8
14,sola elea,1
17,acac cons,11
17,astr nutt,22
17,chae stev,8
17,crot pumi,1
17,desc obtu,4
17,desc pinn,14
17,eria diff,3
17,erio aber,2
17,erod cicu,3
17,hoff dens,3
17,lesq gord,26
17,lina bige,2
17,muhl port,1
17,sola elea,1
22,acac cons,2
22,astr nutt,18
22,cass bauh,1
22,chae stev,8
22,cryp cras,1
22,desc pinn,10
22,dich pulc,1
22,ephe trif,1
22,erag lehm,7
22,eria diff,17
22,erig dive,1
22,erio aber,144
22,erod cicu,9
22,esch mexi,9
22,hapl tenu,1
22,hete suba,1
22,lepi lasi,31
22,lesq gord,1
22,lina bige,10
22,oeno prim,1
22,phac ariz,4
22,plan purs,1
22,pseu cane,2
22,sida proc,1
22,trid pulc,1
22,vulp octo,1
