"plot","Baiomys_taylori","Dipodomys_merriami","Dipodomys_ordii","Dipodomys_spectabilis","Neotoma_albigula","Onychomys_leucogaster","Onychomys_torridus","Chaetodipus_baileyi","Peromyscus_eremicus","Perognathus_flavus","Chaetodipus_hispidus","Chaetodipus_intermedius","Peromyscus_leucopus","Peromyscus_maniculatus","Chaetodipus_penicillatus","Reithrodontomys_fulvescens","Reithrodontomys_megalotis","Reithrodontomys_montanus","Sigmodon_fulviventer","Sigmodon_hispidus","Sigmodon_ochrognathus"
1,0,0,3,0,0,0,2,11,1,0,0,0,0,0,6,0,0,0,0,0,0
2,0,2,1,0,0,0,2,11,2,1,0,0,0,0,6,0,0,0,0,0,0
4,0,0,4,0,0,0,1,10,0,0,0,0,0,0,15,0,0,0,0,0,0
8,0,0,5,0,0,0,3,11,0,0,0,0,0,0,10,0,0,0,0,0,0
9,0,2,0,0,0,0,1,11,0,0,0,0,0,0,7,0,0,0,1,0,0
11,0,7,0,0,0,0,0,9,0,1,0,0,0,0,9,0,0,0,0,0,0
12,0,1,3,0,1,0,2,5,0,0,0,0,0,0,16,0,1,0,1,0,0
14,0,7,2,0,0,0,1,7,0,0,0,0,0,0,9,0,0,0,0,0,0
17,0,1,2,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,1,0
22,0,1,0,0,0,1,1,10,0,0,0,0,1,0,2,0,0,0,0,1,0
